open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
7.02,6.98,7.02,6.95,220268.0,153691232.0,2022,11,17,15,0,2022-11-17 15:00,220268.0
6.99,6.91,7.0,6.91,226629.0,157460688.0,2022,11,18,15,0,2022-11-18 15:00,226629.0
6.9,6.88,6.91,6.83,223749.0,153475264.0,2022,11,21,15,0,2022-11-21 15:00,223749.0
6.89,7.02,7.04,6.89,334245.0,233200480.0,2022,11,22,15,0,2022-11-22 15:00,334245.0
7.01,7.05,7.12,6.99,366943.0,259475312.0,2022,11,23,15,0,2022-11-23 15:00,366943.0
7.06,7.03,7.14,7.03,215345.0,152263200.0,2022,11,24,15,0,2022-11-24 15:00,215345.0
7.04,7.17,7.18,7.04,430338.0,307087072.0,2022,11,25,15,0,2022-11-25 15:00,430338.0
7.1,7.07,7.1,6.98,378731.0,266592720.0,2022,11,28,15,0,2022-11-28 15:00,378731.0
7.1,7.27,7.3,7.08,681712.0,492975264.0,2022,11,29,15,0,2022-11-29 15:00,681712.0
7.24,7.22,7.3,7.22,323469.0,234334304.0,2022,11,30,15,0,2022-11-30 15:00,323469.0
7.28,7.22,7.34,7.21,300404.0,217886960.0,2022,12,1,15,0,2022-12-01 15:00,300404.0
7.25,7.23,7.25,7.17,257220.0,185354144.0,2022,12,2,15,0,2022-12-02 15:00,257220.0
7.28,7.36,7.37,7.24,473673.0,346640960.0,2022,12,5,15,0,2022-12-05 15:00,473673.0
7.32,7.36,7.39,7.3,305503.0,224448672.0,2022,12,6,15,0,2022-12-06 15:00,305503.0
7.35,7.34,7.4,7.3,311765.0,229009600.0,2022,12,7,15,0,2022-12-07 15:00,311765.0
7.32,7.38,7.39,7.31,255517.0,187977680.0,2022,12,8,15,0,2022-12-08 15:00,255517.0
7.37,7.32,7.39,7.3,381923.0,280350272.0,2022,12,9,15,0,2022-12-09 15:00,381923.0
7.31,7.26,7.36,7.23,267085.0,194644288.0,2022,12,12,15,0,2022-12-12 15:00,267085.0
7.27,7.32,7.35,7.25,182536.0,133464504.0,2022,12,13,15,0,2022-12-13 15:00,182536.0
7.37,7.32,7.37,7.26,161806.0,118352408.0,2022,12,14,15,0,2022-12-14 15:00,161806.0
7.28,7.24,7.32,7.23,174717.0,126757096.0,2022,12,15,15,0,2022-12-15 15:00,174717.0
7.25,7.35,7.35,7.23,317046.0,232171552.0,2022,12,16,15,0,2022-12-16 15:00,317046.0
7.37,7.24,7.37,7.21,204325.0,148576224.0,2022,12,19,15,0,2022-12-19 15:00,204325.0
7.23,7.14,7.28,7.13,248002.0,178369744.0,2022,12,20,15,0,2022-12-20 15:00,248002.0
7.22,7.19,7.24,7.13,172529.0,124209184.0,2022,12,21,15,0,2022-12-21 15:00,172529.0
7.28,7.24,7.31,7.2,186626.0,135509040.0,2022,12,22,15,0,2022-12-22 15:00,186626.0
7.19,7.19,7.27,7.17,129584.0,93463048.0,2022,12,23,15,0,2022-12-23 15:00,129584.0
7.19,7.1,7.21,7.08,201385.0,143606816.0,2022,12,26,15,0,2022-12-26 15:00,201385.0
7.13,7.22,7.29,7.12,240651.0,173516848.0,2022,12,27,15,0,2022-12-27 15:00,240651.0
7.22,7.3,7.3,7.2,209013.0,152167728.0,2022,12,28,15,0,2022-12-28 15:00,209013.0
7.27,7.24,7.29,7.18,183670.0,132652080.0,2022,12,29,15,0,2022-12-29 15:00,183670.0
7.23,7.28,7.3,7.22,203523.0,147932736.0,2022,12,30,15,0,2022-12-30 15:00,203523.0
7.27,7.23,7.28,7.17,258925.0,187094064.0,2023,1,3,15,0,2023-01-03 15:00,258925.0
7.27,7.31,7.35,7.23,309470.0,226321376.0,2023,1,4,15,0,2023-01-04 15:00,309470.0
7.37,7.35,7.38,7.3,301621.0,221617360.0,2023,1,5,15,0,2023-01-05 15:00,301621.0
7.35,7.34,7.38,7.31,203128.0,149170544.0,2023,1,6,15,0,2023-01-06 15:00,203128.0
7.38,7.34,7.38,7.3,196122.0,143998208.0,2023,1,9,15,0,2023-01-09 15:00,196122.0
7.35,7.28,7.35,7.28,161946.0,118223824.0,2023,1,10,15,0,2023-01-10 15:00,161946.0
7.31,7.3,7.34,7.27,192155.0,140394000.0,2023,1,11,15,0,2023-01-11 15:00,192155.0
7.33,7.27,7.34,7.24,168499.0,122554360.0,2023,1,12,15,0,2023-01-12 15:00,168499.0
7.29,7.34,7.35,7.27,217702.0,159178128.0,2023,1,13,15,0,2023-01-13 15:00,217702.0
7.35,7.33,7.38,7.28,368169.0,270170016.0,2023,1,16,15,0,2023-01-16 15:00,368169.0
7.34,7.3,7.35,7.27,242226.0,176749040.0,2023,1,17,15,0,2023-01-17 15:00,242226.0
7.31,7.31,7.33,7.27,244945.0,178868880.0,2023,1,18,15,0,2023-01-18 15:00,244945.0
7.31,7.33,7.33,7.26,167133.0,121983728.0,2023,1,19,15,0,2023-01-19 15:00,167133.0
7.34,7.36,7.36,7.32,209869.0,154239824.0,2023,1,20,15,0,2023-01-20 15:00,209869.0
7.43,7.4,7.43,7.37,318107.0,235352032.0,2023,1,30,15,0,2023-01-30 15:00,318107.0
7.42,7.37,7.45,7.37,284382.0,210715440.0,2023,1,31,15,0,2023-01-31 15:00,284382.0
7.4,7.36,7.4,7.33,186595.0,137294544.0,2023,2,1,15,0,2023-02-01 15:00,186595.0
7.39,7.36,7.39,7.32,219001.0,160961792.0,2023,2,2,15,0,2023-02-02 15:00,219001.0
7.33,7.27,7.35,7.27,298855.0,217904608.0,2023,2,3,15,0,2023-02-03 15:00,298855.0
7.25,7.25,7.25,7.21,227867.0,164745216.0,2023,2,6,15,0,2023-02-06 15:00,227867.0
7.27,7.24,7.27,7.22,154818.0,112169272.0,2023,2,7,15,0,2023-02-07 15:00,154818.0
7.24,7.23,7.27,7.22,130950.0,94770360.0,2023,2,8,15,0,2023-02-08 15:00,130950.0
7.23,7.26,7.28,7.22,108959.0,79099152.0,2023,2,9,15,0,2023-02-09 15:00,108959.0
7.25,7.24,7.27,7.22,119441.0,86527408.0,2023,2,10,15,0,2023-02-10 15:00,119441.0
7.22,7.23,7.26,7.18,204497.0,147742688.0,2023,2,13,15,0,2023-02-13 15:00,204497.0
7.24,7.24,7.26,7.23,119298.0,86373392.0,2023,2,14,15,0,2023-02-14 15:00,119298.0
7.24,7.2,7.25,7.19,154676.0,111509088.0,2023,2,15,15,0,2023-02-15 15:00,154676.0
7.21,7.19,7.26,7.18,187983.0,135881168.0,2023,2,16,15,0,2023-02-16 15:00,187983.0
7.19,7.13,7.22,7.13,211489.0,151882560.0,2023,2,17,15,0,2023-02-17 15:00,211489.0
7.16,7.26,7.27,7.15,256135.0,184902608.0,2023,2,20,15,0,2023-02-20 15:00,256135.0
7.26,7.29,7.3,7.23,162344.0,118094160.0,2023,2,21,15,0,2023-02-21 15:00,162344.0
7.28,7.24,7.29,7.24,129713.0,94204600.0,2023,2,22,15,0,2023-02-22 15:00,129713.0
7.25,7.23,7.28,7.23,114365.0,82898816.0,2023,2,23,15,0,2023-02-23 15:00,114365.0
7.22,7.18,7.26,7.18,166811.0,120124648.0,2023,2,24,15,0,2023-02-24 15:00,166811.0
7.16,7.16,7.2,7.16,158006.0,113363320.0,2023,2,27,15,0,2023-02-27 15:00,158006.0
7.18,7.18,7.2,7.14,174481.0,125100408.0,2023,2,28,15,0,2023-02-28 15:00,174481.0
7.17,7.26,7.27,7.17,256613.0,185861456.0,2023,3,1,15,0,2023-03-01 15:00,256613.0
7.23,7.27,7.29,7.23,170700.0,124094304.0,2023,3,2,15,0,2023-03-02 15:00,170700.0
7.29,7.35,7.36,7.26,310941.0,227583040.0,2023,3,3,15,0,2023-03-03 15:00,310941.0
7.35,7.33,7.37,7.31,249399.0,182971728.0,2023,3,6,15,0,2023-03-06 15:00,249399.0
7.32,7.31,7.46,7.3,566427.0,417960800.0,2023,3,7,15,0,2023-03-07 15:00,566427.0
7.3,7.31,7.32,7.25,190590.0,138757488.0,2023,3,8,15,0,2023-03-08 15:00,190590.0
7.31,7.27,7.34,7.25,189933.0,138470608.0,2023,3,9,15,0,2023-03-09 15:00,189933.0
7.24,7.15,7.26,7.15,278438.0,200486048.0,2023,3,10,15,0,2023-03-10 15:00,278438.0
7.05,7.06,7.09,7.03,513149.0,362230496.0,2023,3,13,15,0,2023-03-13 15:00,513149.0
7.06,7.02,7.07,7.0,324533.0,228164816.0,2023,3,14,15,0,2023-03-14 15:00,324533.0
7.07,7.08,7.1,7.06,250729.0,177677440.0,2023,3,15,15,0,2023-03-15 15:00,250729.0
7.08,7.12,7.17,7.05,285013.0,203051776.0,2023,3,16,15,0,2023-03-16 15:00,285013.0
7.14,7.11,7.22,7.1,363281.0,260022752.0,2023,3,17,15,0,2023-03-17 15:00,363281.0
7.1,7.13,7.22,7.1,262921.0,188546320.0,2023,3,20,15,0,2023-03-20 15:00,262921.0
7.16,7.13,7.2,7.13,189776.0,135798128.0,2023,3,21,15,0,2023-03-21 15:00,189776.0
7.15,7.18,7.19,7.14,169883.0,121799288.0,2023,3,22,15,0,2023-03-22 15:00,169883.0
7.15,7.21,7.22,7.14,215062.0,154656976.0,2023,3,23,15,0,2023-03-23 15:00,215062.0
7.19,7.21,7.25,7.18,256878.0,185477856.0,2023,3,24,15,0,2023-03-24 15:00,256878.0
7.23,7.15,7.23,7.15,191413.0,137294384.0,2023,3,27,15,0,2023-03-27 15:00,191413.0
7.16,7.18,7.19,7.14,166412.0,119293208.0,2023,3,28,15,0,2023-03-28 15:00,166412.0
7.23,7.16,7.23,7.16,126858.0,91087592.0,2023,3,29,15,0,2023-03-29 15:00,126858.0
7.18,7.19,7.21,7.12,225047.0,161359040.0,2023,3,30,15,0,2023-03-30 15:00,225047.0
7.19,7.19,7.24,7.17,200489.0,144424000.0,2023,3,31,15,0,2023-03-31 15:00,200489.0
7.19,7.19,7.21,7.16,202465.0,145394352.0,2023,4,3,15,0,2023-04-03 15:00,202465.0
7.19,7.21,7.22,7.16,257181.0,184997552.0,2023,4,4,15,0,2023-04-04 15:00,257181.0
7.21,7.18,7.22,7.18,147402.0,106072544.0,2023,4,6,15,0,2023-04-06 15:00,147402.0
7.19,7.23,7.24,7.16,174658.0,125889352.0,2023,4,7,15,0,2023-04-07 15:00,174658.0
7.21,7.21,7.24,7.19,175483.0,126535776.0,2023,4,10,15,0,2023-04-10 15:00,175483.0
7.23,7.18,7.23,7.18,201912.0,145358000.0,2023,4,11,15,0,2023-04-11 15:00,201912.0
7.2,7.21,7.23,7.17,194756.0,140373568.0,2023,4,12,15,0,2023-04-12 15:00,194756.0
7.22,7.25,7.29,7.2,257790.0,186717632.0,2023,4,13,15,0,2023-04-13 15:00,257790.0
7.28,7.27,7.31,7.25,250746.0,182629856.0,2023,4,14,15,0,2023-04-14 15:00,250746.0
